pancreas_region,hospbin,LSMEAN,stain
Head,3,3.9763313889,CD45
Head,6,3.6436159524,CD45
Head,9,4.864355,CD45
Body,3,4.2174231944,CD45
Body,6,4.1715586905,CD45
Body,9,4.6138400833,CD45
Tail,3,5.3513705556,CD45
Tail,6,4.7096621429,CD45
Tail,9,5.6687970833,CD45
Overall,3,4.515041713,CD45
Overall,6,4.1749455952,CD45
Overall,9,5.0489973889,CD45
Head,3,2.1172868472,CD68
Head,6,2.1160828452,CD68
Head,9,3.43758125,CD68
Body,3,2.8190932361,CD68
Body,6,2.5878587381,CD68
Body,9,3.1899191667,CD68
Tail,3,2.8195577222,CD68
Tail,6,2.4170059405,CD68
Tail,9,3.80707425,CD68
Overall,3,2.5853126019,CD68
Overall,6,2.3736491746,CD68
Overall,9,3.4781915556,CD68
Head,3,3.6760532824,Insulin
Head,6,2.5953852698,Insulin
Head,9,2.2590107222,Insulin
Body,3,2.9731036157,Insulin
Body,6,2.228442381,Insulin
Body,9,2.0723273611,Insulin
Tail,3,3.5431733333,Insulin
Tail,6,3.1910076508,Insulin
Tail,9,2.6967659028,Insulin
Overall,3,3.3974434105,Insulin
Overall,6,2.6716117672,Insulin
Overall,9,2.3427013287,Insulin
Head,3,1.4899494375,Ki67
Head,6,0.5026040167,Ki67
Head,9,1.9366161542,Ki67
Body,3,1.7060190417,Ki67
Body,6,0.6717874714,Ki67
Body,9,1.750119575,Ki67
Tail,3,1.4147419389,Ki67
Tail,6,0.5865763357,Ki67
Tail,9,1.5836934708,Ki67
Overall,3,1.5369034727,Ki67
Overall,6,0.5869892746,Ki67
Overall,9,1.7568097333,Ki67
Head,3,0.231471941,dual
Head,6,0.0159909205,dual
Head,9,0.029479886,dual
Body,3,0.0750435525,dual
Body,6,0.0140156648,dual
Body,9,0.0228305858,dual
Tail,3,0.1013128429,dual
Tail,6,0.0255004833,dual
Tail,9,0.0249946094,dual
Overall,3,0.1359427788,dual
Overall,6,0.0185023562,dual
Overall,9,0.0257683604,dual
